,created_at,id,in_reply_to_screen_name,in_reply_to_status_id_str,text,user,cluster,translated_text
27,"03/19/2020, 04:26:58",1240494951177302016,,,"My partner and I traveled from London Heathrow to Beijing yesterday. Given the current #COVID19 situation, I thought that I would share my experience of what traveling to China is like at the moment (it might be a preview of what could come to Europe). 1/n",LukasHenselEcon,10,"मेरे साथी और मैं से कूच लंदन के हीथ्रो, बीजिंग के लिए कल. वर्तमान को देखते हुए #COVID19 स्थिति में, मैंने सोचा कि मैं अपने अनुभव साझा करेंगे क्या की यात्रा करने के लिए चीन में इस समय की तरह (यह हो सकता है की एक पूर्वावलोकन क्या आ सकता है यूरोप के लिए). 1/n"
26,"03/19/2020, 04:42:24",1240498836583284736,LukasHenselEcon,1240494951177302016,"Heathrow airport was quite busy. We wore facemasks but there were many people without any protection. However, there were also a lot of people wearing gloves, goggles, and protective suits. The close we got our gate, the higher the ratio of people with protective clothes. 2/n https://t.co/4DN9MIbk4N",LukasHenselEcon,10,"हीथ्रो हवाई अड्डा काफी व्यस्त था. हम पहनी थी facemasks के थे, लेकिन कई लोगों को किसी भी सुरक्षा के बिना. हालांकि, वहाँ भी थे बहुत से लोगों को पहनने के दस्ताने, काले चश्मे और सुरक्षात्मक सूट. करीब हम हमारे फाटक, उच्च अनुपात के साथ लोगों के लिए सुरक्षात्मक कपड़े. 2/n https://t.co/4DN9MIbk4N"
25,"03/19/2020, 04:42:25",1240498840542875648,LukasHenselEcon,1240498836583284736,"Aside: My perceptions of social norms in Europe is that wearing a mask is seen as overreacting. I am normally quite reluctant to do so, but the norms in China / among the Chinese are totally opposite. Not wearing protective gear will make you seem irresponsible. 3/",LukasHenselEcon,10,"एक तरफ: मेरी धारणा सामाजिक मानदंडों के यूरोप में है कि एक मुखौटा पहने हुए देखा जाता है के रूप में ज़्यादा गुस्सा कर रही. मैं हूँ आम तौर पर काफी ऐसा करने के लिए अनिच्छुक है, लेकिन मानदंडों / चीन में चीनी के बीच कर रहे हैं पूरी तरह से विपरीत है । नहीं पहनने सुरक्षात्मक गियर कर देगा आपको लगता है गैर जिम्मेदाराना है । 3/"
24,"03/19/2020, 04:42:26",1240498844921548806,LukasHenselEcon,1240498840542875648,"An interesting question is whether COVID-19 will change these norms in Europe and elsewhere. If mask-wearing is perceived positively, this could have positive side effects in countries with high levels of air pollution (eg India and Pakistan). 4/n",LukasHenselEcon,10,"एक दिलचस्प सवाल यह है कि क्या COVID-19 बदल जाएगा इन मानदंडों यूरोप में और कहीं और । अगर मुखौटा पहने सकारात्मक माना जाता है, यह हो सकता है सकारात्मक पक्ष प्रभाव के साथ देशों में उच्च स्तर के वायु प्रदूषण (जैसे भारत और पाकिस्तान). 4/n"
23,"03/19/2020, 04:42:28",1240498853431758849,LukasHenselEcon,1240498844921548806,"During our trip, temperature measurement was very frequent. On the way to plane our temperature was taken twice. It was taken twice more while in the air. Given the long incubation period, that seems only mildly effective, but it also didn’t use many resources. 5/n",LukasHenselEcon,10,"के दौरान हमारे यात्रा, तापमान माप था बहुत अक्सर. पर जिस तरह से करने के लिए विमान हमारे तापमान को लिया गया था दो बार. यह लिया गया था, दो बार अधिक है । को देखते हुए लंबी ऊष्मायन अवधि, है कि लगता है, केवल हल्का प्रभावी है, लेकिन यह भी उपयोग नहीं किया कई संसाधनों की है. 5/n"
22,"03/19/2020, 04:43:30",1240499113168273409,LukasHenselEcon,1240498853431758849,"On the plane, we were all instructed to wear masks and everyone stuck to it (that also means everyone was prepared as no-one handed out masks). Our neighbors were fully covered (see photo) and we felt somewhat under-protected (though probably more comfortable). 6/n https://t.co/euSXj0Okz6",LukasHenselEcon,10,"विमान पर, हम सभी थे निर्देश दिए मास्क पहनने के लिए और हर किसी को यह करने के लिए अटक (यह भी अर्थ है कि हर कोई तैयार किया गया था के रूप में नहीं, एक हाथ से बाहर मास्क). हमारे पड़ोसी थे पूरी तरह से कवर किया (देखें फोटो) और हम महसूस किया कि कुछ हद तक के तहत संरक्षित है (हालांकि शायद और अधिक आरामदायक). 6/n https://t.co/euSXj0Okz6"
21,"03/19/2020, 04:43:31",1240499118792818690,LukasHenselEcon,1240499113168273409,"The flight attendants handed out a health questionnaire on the plane (instead of the usual landing card). However, when we landed, we had to fill out an updated version of the same document. This is just a sign of how quickly things are changing. 7/n",LukasHenselEcon,10,"उड़ान attendants के हाथ से बाहर एक स्वास्थ्य प्रश्नावली पर विमान (बजाय सामान्य लैंडिंग कार्ड). हालांकि, जब हम उतरा, हम बाहर भरने के लिए एक अद्यतन संस्करण के साथ एक ही दस्तावेज़. यह सिर्फ एक संकेत है कि कैसे जल्दी से बातें कर रहे हैं बदल रहा है । 7/एन"
20,"03/19/2020, 04:43:32",1240499121925980160,LukasHenselEcon,1240499118792818690,"On the ground, we had to wait at least an hour before we were let off the plane. However, everyone (including the children) was very calm and the @airchina staff was very helpful and professional. Everyone was happy to be able to return home (I did not see other westerners). 8/n",LukasHenselEcon,10,"जमीन पर, हम इंतजार करना पड़ा कम से कम एक घंटे से पहले हम से दूर जाने थे विमान है. बहरहाल, हर कोई (सहित) बच्चों को बहुत शांत था और @airchina कर्मचारी काफी मददगार था और पेशेवर. हर कोई खुश था करने के लिए सक्षम हो जाएगा घर लौटने के लिए (मैं नहीं देखा था अन्य पश्चिमी देशों). 8/n"
19,"03/19/2020, 04:43:33",1240499124987768832,LukasHenselEcon,1240499121925980160,"The airport area for European arrivals was separated and all staff was wearing full-body protective clothes. We had our temperature checked again. Luggage was disinfected before being put out. Overall, we spent four hours on a process that usually takes less than an hour. 9/n",LukasHenselEcon,10,"हवाई अड्डे के क्षेत्र के लिए यूरोपीय आगमन अलग हो गया था और सभी कर्मचारियों पहने हुए थी पूर्ण शरीर सुरक्षात्मक कपड़े. हम हमारे तापमान फिर से जाँच की. सामान था कीटाणुरहित किया जा रहा से पहले बाहर डाल दिया । कुल मिलाकर, हम चार घंटे बिताए पर एक प्रक्रिया है कि आम तौर पर कम से कम एक घंटे. 9/n"
18,"03/19/2020, 04:43:34",1240499127919603714,LukasHenselEcon,1240499124987768832,"Everyone entering Beijing at the moment has to undergo a 14-day quarantine (not just social isolation). Hence, everyone was put on buses to a convention center close to the airport. In the center, the atmosphere was very calm, and most people seem to accept the policy. 10/n",LukasHenselEcon,10,"हर किसी के प्रवेश करने पर बीजिंग पल से गुजरना करने के लिए एक 14 दिन संगरोध (न सिर्फ सामाजिक अलगाव). इसलिए, हर किसी को रखा गया था पर बसों के लिए एक कन्वेंशन सेंटर के पास हवाई अड्डा है । केंद्र में, वातावरण बहुत शांत था, और ज्यादातर लोगों को लगता है स्वीकार करने के लिए नीति. 10/n"
